quantity,n_cases,mean_NRMSE_pct,median_NRMSE_pct,max_NRMSE_pct
Pressure,9,0.043397067365390264,0.04336693729323308,0.09712611024567605
Temperature,9,0.028876870362268176,0.0032997836611981576,0.09586642704155471
Y_H,9,0.11089334716069854,0.02192268134604186,0.3546132599950973
Y_H2,9,0.052173432597528574,0.007593496817659426,0.15526607007444782
Y_H2O,9,0.04616239684022793,0.006144657397559171,0.14041897486450666
Y_H2O2,9,0.0980592516879412,0.036493681315558,0.25893063808658456
Y_HO2,9,0.17037478760755145,0.011809724434547036,1.048300871277452
Y_N2,9,3.3110778651074063e-15,0.0,1.4899850392983328e-14
Y_O,9,0.09181487336304534,0.011381165629563152,0.3306096378134294
Y_O2,9,0.04904479294345554,0.005790495758267243,0.15260148959945735
Y_OH,9,0.06355844106362042,0.005699718317152677,0.2602562715110776
