case_id,T_K,P_atm,phi,status,cj_speed_m_s,t_end_s,n_profile_points,x_max_m,profile_file,runtime_s,error_message
42,300.0,4.2,1.0,cached,2003.6677139169399,5e-05,763,0.05121322941787312,znd_tp_profiles/znd_T0300.00_P04.20.npz,0.0,
43,300.0,4.3,1.0,cached,2004.0922287955793,5e-05,776,0.05122801177576833,znd_tp_profiles/znd_T0300.00_P04.30.npz,0.0,
44,300.0,4.3999999999999995,1.0,cached,2004.5056547168613,5e-05,841,0.05124239473729523,znd_tp_profiles/znd_T0300.00_P04.40.npz,0.0,
45,300.0,4.5,1.0,cached,2004.9084359214305,5e-05,800,0.051256435127680355,znd_tp_profiles/znd_T0300.00_P04.50.npz,0.0,
46,300.0,4.6,1.0,cached,2005.3011634065706,5e-05,837,0.05127012389667785,znd_tp_profiles/znd_T0300.00_P04.60.npz,0.0,
47,300.0,4.7,1.0,cached,2005.6841763071861,5e-05,792,0.05128353135129687,znd_tp_profiles/znd_T0300.00_P04.70.npz,0.0,
48,300.0,4.8,1.0,cached,2006.0580382031044,5e-05,872,0.05129664008980364,znd_tp_profiles/znd_T0300.00_P04.80.npz,0.0,
49,300.0,4.9,1.0,cached,2006.4230398489308,5e-05,940,0.0513094979904663,znd_tp_profiles/znd_T0300.00_P04.90.npz,0.0,
50,300.0,5.0,1.0,cached,2006.7796128805885,5e-05,770,0.051322113794513124,znd_tp_profiles/znd_T0300.00_P05.00.npz,0.0,
51,314.2857142857143,0.1,1.0,ok,1918.2241621611151,5e-05,569,0.035011376697171095,znd_tp_profiles/znd_T0314.29_P00.10.npz,0.8460653750007623,
52,314.2857142857143,0.2,1.0,ok,1935.7754216598262,5e-05,620,0.042784268667170895,znd_tp_profiles/znd_T0314.29_P00.20.npz,0.977304499996535,
53,314.2857142857143,0.30000000000000004,1.0,ok,1945.7060239865455,5e-05,641,0.04592855865816333,znd_tp_profiles/znd_T0314.29_P00.30.npz,0.7997366249983315,
54,314.2857142857143,0.4,1.0,ok,1952.583439125029,5e-05,655,0.04740313955225502,znd_tp_profiles/znd_T0314.29_P00.40.npz,0.8284763749979902,
55,314.2857142857143,0.5,1.0,ok,1957.8144680730527,5e-05,665,0.04822913846345863,znd_tp_profiles/znd_T0314.29_P00.50.npz,0.811808625003323,
56,314.2857142857143,0.6,1.0,ok,1962.0179569123377,5e-05,677,0.04875858670496743,znd_tp_profiles/znd_T0314.29_P00.60.npz,0.8053090840039658,
57,314.2857142857143,0.7000000000000001,1.0,ok,1965.5205394042846,5e-05,677,0.049130074639120655,znd_tp_profiles/znd_T0314.29_P00.70.npz,0.8644644579981104,
58,314.2857142857143,0.8,1.0,ok,1968.515383332526,5e-05,683,0.04940762526183383,znd_tp_profiles/znd_T0314.29_P00.80.npz,0.8355699159947108,
59,314.2857142857143,0.9,1.0,ok,1971.1260519211482,5e-05,700,0.04962467169403136,znd_tp_profiles/znd_T0314.29_P00.90.npz,0.8814106249992619,
60,314.2857142857143,1.0,1.0,ok,1973.4362669294774,5e-05,716,0.04980035866877906,znd_tp_profiles/znd_T0314.29_P01.00.npz,0.825001750003139,
61,314.2857142857143,1.1,1.0,ok,1975.5053373880278,5e-05,714,0.04994642508028768,znd_tp_profiles/znd_T0314.29_P01.10.npz,0.8116675420023967,
62,314.2857142857143,1.2000000000000002,1.0,ok,1977.3767385460387,5e-05,769,0.05007048108735369,znd_tp_profiles/znd_T0314.29_P01.20.npz,0.8263910000023316,
63,314.2857142857143,1.3000000000000003,1.0,ok,1979.0833173863416,5e-05,728,0.05017763626134875,znd_tp_profiles/znd_T0314.29_P01.30.npz,0.8901370000021416,
64,314.2857142857143,1.4000000000000001,1.0,ok,1980.6504480605638,5e-05,822,0.05027154245807816,znd_tp_profiles/znd_T0314.29_P01.40.npz,0.9317527919993154,
65,314.2857142857143,1.5000000000000002,1.0,ok,1982.0981260540204,5e-05,723,0.050354797978890115,znd_tp_profiles/znd_T0314.29_P01.50.npz,0.8540837499967893,
66,314.2857142857143,1.6,1.0,ok,1983.4423966056158,5e-05,750,0.05042934672819918,znd_tp_profiles/znd_T0314.29_P01.60.npz,0.8261545419954928,
67,314.2857142857143,1.7000000000000002,1.0,ok,1984.6963163716705,5e-05,785,0.050496662596586035,znd_tp_profiles/znd_T0314.29_P01.70.npz,0.8416938750015106,
68,314.2857142857143,1.8000000000000003,1.0,ok,1985.8706521883134,5e-05,715,0.05055788469169941,znd_tp_profiles/znd_T0314.29_P01.80.npz,0.8091303749970393,
69,314.2857142857143,1.9000000000000001,1.0,ok,1986.9743761208947,5e-05,805,0.0506139092823178,znd_tp_profiles/znd_T0314.29_P01.90.npz,0.9062662500000442,
70,314.2857142857143,2.0,1.0,ok,1988.0150482956958,5e-05,874,0.05066547179502588,znd_tp_profiles/znd_T0314.29_P02.00.npz,0.8751807909939089,
71,314.2857142857143,2.1,1.0,ok,1988.9990986526213,5e-05,853,0.05071313712270585,znd_tp_profiles/znd_T0314.29_P02.10.npz,0.8862309579999419,
72,314.2857142857143,2.2,1.0,ok,1989.932033107887,5e-05,781,0.050757378975124556,znd_tp_profiles/znd_T0314.29_P02.20.npz,0.95306349999737,
73,314.2857142857143,2.3000000000000003,1.0,ok,1990.8186006438293,5e-05,829,0.05079859360757711,znd_tp_profiles/znd_T0314.29_P02.30.npz,0.8849230830019224,
74,314.2857142857143,2.4000000000000004,1.0,ok,1991.6629359434455,5e-05,854,0.05083713945004416,znd_tp_profiles/znd_T0314.29_P02.40.npz,0.868843125004787,
75,314.2857142857143,2.5000000000000004,1.0,ok,1992.4686471495831,5e-05,839,0.05087326046970357,znd_tp_profiles/znd_T0314.29_P02.50.npz,0.8586992909986293,
76,314.2857142857143,2.6,1.0,ok,1993.2389086597927,5e-05,743,0.0509072116687894,znd_tp_profiles/znd_T0314.29_P02.60.npz,0.8584817500013742,
77,314.2857142857143,2.7,1.0,ok,1993.9765332842344,5e-05,774,0.05093918997585631,znd_tp_profiles/znd_T0314.29_P02.70.npz,0.8309815410029842,
78,314.2857142857143,2.8000000000000003,1.0,ok,1994.6839825167926,5e-05,827,0.05096938254644998,znd_tp_profiles/znd_T0314.29_P02.80.npz,0.8702659999980824,
79,314.2857142857143,2.9000000000000004,1.0,ok,1995.3635138476163,5e-05,769,0.050997939929088264,znd_tp_profiles/znd_T0314.29_P02.90.npz,0.8699968750006519,
80,314.2857142857143,3.0000000000000004,1.0,ok,1996.0170959549305,5e-05,765,0.05102498667962749,znd_tp_profiles/znd_T0314.29_P03.00.npz,0.8824115410025115,
81,314.2857142857143,3.1,1.0,ok,1996.6465201543497,5e-05,746,0.05105066308432623,znd_tp_profiles/znd_T0314.29_P03.10.npz,0.9766791250003735,
82,314.2857142857143,3.2,1.0,ok,1997.2534019964016,5e-05,912,0.05107506003957934,znd_tp_profiles/znd_T0314.29_P03.20.npz,1.1096011670015287,
83,314.2857142857143,3.3000000000000003,1.0,ok,1997.839194212824,5e-05,933,0.05109827759136706,znd_tp_profiles/znd_T0314.29_P03.30.npz,1.091674958996009,
84,314.2857142857143,3.4000000000000004,1.0,ok,1998.4052241092288,5e-05,865,0.05112040882497858,znd_tp_profiles/znd_T0314.29_P03.40.npz,0.9348288330002106,
85,314.2857142857143,3.5000000000000004,1.0,ok,1998.9526703620877,5e-05,996,0.051141536344940966,znd_tp_profiles/znd_T0314.29_P03.50.npz,0.9813298329972895,
86,314.2857142857143,3.6,1.0,ok,1999.4827143108894,5e-05,981,0.05116172926046785,znd_tp_profiles/znd_T0314.29_P03.60.npz,1.0962676659983117,
87,314.2857142857143,3.7,1.0,ok,1999.996282858733,5e-05,770,0.0511810780169961,znd_tp_profiles/znd_T0314.29_P03.70.npz,0.9331733750004787,
88,314.2857142857143,3.8000000000000003,1.0,ok,2000.4943260713314,5e-05,830,0.05119961841882895,znd_tp_profiles/znd_T0314.29_P03.80.npz,0.8758618749998277,
89,314.2857142857143,3.9000000000000004,1.0,ok,2000.977694729168,5e-05,837,0.051217434760468986,znd_tp_profiles/znd_T0314.29_P03.90.npz,0.9193245839996962,
90,314.2857142857143,4.0,1.0,ok,2001.4471716360324,5e-05,796,0.051234567382910844,znd_tp_profiles/znd_T0314.29_P04.00.npz,0.890155875000346,
91,314.2857142857143,4.1,1.0,ok,2001.9034836500966,5e-05,824,0.05125109401038461,znd_tp_profiles/znd_T0314.29_P04.10.npz,0.9018846249964554,
92,314.2857142857143,4.2,1.0,ok,2002.3472927641117,5e-05,866,0.051267047572128514,znd_tp_profiles/znd_T0314.29_P04.20.npz,0.9288166670012288,
93,314.2857142857143,4.3,1.0,ok,2002.779194017294,5e-05,898,0.05128247406883223,znd_tp_profiles/znd_T0314.29_P04.30.npz,0.8971259159952751,
94,314.2857142857143,4.3999999999999995,1.0,ok,2003.1998633449143,5e-05,808,0.051297419710171224,znd_tp_profiles/znd_T0314.29_P04.40.npz,0.844051958003547,
95,314.2857142857143,4.5,1.0,ok,2003.6097312763527,5e-05,781,0.051311935685853245,znd_tp_profiles/znd_T0314.29_P04.50.npz,0.8783113749959739,
96,314.2857142857143,4.6,1.0,ok,2004.0093359853045,5e-05,824,0.05132603041423058,znd_tp_profiles/znd_T0314.29_P04.60.npz,0.8937608330015792,
97,314.2857142857143,4.7,1.0,ok,2004.3991458617845,5e-05,880,0.051339761356023694,znd_tp_profiles/znd_T0314.29_P04.70.npz,0.9705742079968331,
98,314.2857142857143,4.8,1.0,ok,2004.7795913945974,5e-05,768,0.05135314871416554,znd_tp_profiles/znd_T0314.29_P04.80.npz,0.8735191669984488,
99,314.2857142857143,4.9,1.0,ok,2005.1510839983953,5e-05,784,0.05136621851453402,znd_tp_profiles/znd_T0314.29_P04.90.npz,0.9346820840000873,
100,314.2857142857143,5.0,1.0,ok,2005.5140056550015,5e-05,852,0.05137899504094797,znd_tp_profiles/znd_T0314.29_P05.00.npz,1.1113352079992183,
101,328.57142857142856,0.1,1.0,ok,1915.8512268428492,5e-05,567,0.03463991603762172,znd_tp_profiles/znd_T0328.57_P00.10.npz,0.8966898329963442,
102,328.57142857142856,0.2,1.0,ok,1933.5756833001574,5e-05,619,0.042500063394256396,znd_tp_profiles/znd_T0328.57_P00.20.npz,0.8837579579994781,
103,328.57142857142856,0.30000000000000004,1.0,ok,1943.613590389609,5e-05,640,0.045762531754637834,znd_tp_profiles/znd_T0328.57_P00.30.npz,0.8589949999950477,
104,328.57142857142856,0.4,1.0,ok,1950.569697964486,5e-05,655,0.04730594175267243,znd_tp_profiles/znd_T0328.57_P00.40.npz,0.8790359590057051,
105,328.57142857142856,0.5,1.0,ok,1955.8631538036993,5e-05,664,0.048169145245255035,znd_tp_profiles/znd_T0328.57_P00.50.npz,0.8810867079955642,
106,328.57142857142856,0.6,1.0,ok,1960.1184686505978,5e-05,670,0.04872066622413214,znd_tp_profiles/znd_T0328.57_P00.60.npz,0.9313364999979967,
107,328.57142857142856,0.7000000000000001,1.0,ok,1963.6654388039826,5e-05,673,0.04910654467152905,znd_tp_profiles/znd_T0328.57_P00.70.npz,0.8496142079966376,
108,328.57142857142856,0.8,1.0,ok,1966.699131147407,5e-05,681,0.049394119039952555,znd_tp_profiles/znd_T0328.57_P00.80.npz,0.9268101249981555,
109,328.57142857142856,0.9,1.0,ok,1969.3443584066752,5e-05,690,0.04961855564710916,znd_tp_profiles/znd_T0328.57_P00.90.npz,0.8353872920051799,
110,328.57142857142856,1.0,1.0,ok,1971.6856867313304,5e-05,732,0.049799910774274245,znd_tp_profiles/znd_T0328.57_P01.00.npz,0.84630041699711,
111,328.57142857142856,1.1,1.0,ok,1973.783079186564,5e-05,737,0.049950471104295985,znd_tp_profiles/znd_T0328.57_P01.10.npz,0.8612107920052949,
112,328.57142857142856,1.2000000000000002,1.0,ok,1975.6804598190179,5e-05,776,0.0500781898160388,znd_tp_profiles/znd_T0328.57_P01.20.npz,0.9567897079978138,
113,328.57142857142856,1.3000000000000003,1.0,ok,1977.4110494535328,5e-05,751,0.050188440319391896,znd_tp_profiles/znd_T0328.57_P01.30.npz,0.9163492919979035,
