target_T_K,target_P_atm,corner,T_K,P_atm,weight
351.5,0.85,"(T0, P0)",342.8571428571429,0.8,0.19750000000000117
351.5,0.85,"(T1, P0)",357.14285714285717,0.8,0.3024999999999994
351.5,0.85,"(T0, P1)",342.8571428571429,0.9,0.19750000000000073
351.5,0.85,"(T1, P1)",357.14285714285717,0.9,0.3024999999999987
