T1_K,P1_atm,feature_value,d2_dT2,d2_dP2,d2_dTdP,C_T,C_P,C_TP,C_combined
300.0,0.1,0.0032817428561155563,nan,nan,nan,nan,nan,nan,nan
300.0,0.2,0.0013702561930556399,nan,nan,nan,nan,nan,nan,nan
300.0,0.30000000000000004,0.0008222728656115145,nan,nan,nan,nan,nan,nan,nan
300.0,0.4,0.000582308323493161,nan,nan,nan,nan,nan,nan,nan
300.0,0.5,0.0004508611912054675,nan,nan,nan,nan,nan,nan,nan
300.0,0.6,0.0003688614559681582,nan,nan,nan,nan,nan,nan,nan
300.0,0.7000000000000001,0.0003132665073991784,nan,nan,nan,nan,nan,nan,nan
300.0,0.8,0.0002733501582908853,nan,nan,nan,nan,nan,nan,nan
300.0,0.9,0.00024344967298421436,nan,nan,nan,nan,nan,nan,nan
300.0,1.0,0.00022033604771559825,nan,nan,nan,nan,nan,nan,nan
300.0,1.1,0.00020202272269563456,nan,nan,nan,nan,nan,nan,nan
300.0,1.2000000000000002,0.00018723503023434623,nan,nan,nan,nan,nan,nan,nan
300.0,1.3000000000000003,0.00017511261019814893,nan,nan,nan,nan,nan,nan,nan
300.0,1.4000000000000001,0.0001650495509308581,nan,nan,nan,nan,nan,nan,nan
300.0,1.5000000000000002,0.00015661903234516858,nan,nan,nan,nan,nan,nan,nan
300.0,1.6,0.00014950557949241757,nan,nan,nan,nan,nan,nan,nan
300.0,1.7000000000000002,0.0001434759907755884,nan,nan,nan,nan,nan,nan,nan
300.0,1.8000000000000003,0.0001383461462166824,nan,nan,nan,nan,nan,nan,nan
300.0,1.9000000000000001,0.00013397399899288726,nan,nan,nan,nan,nan,nan,nan
300.0,2.0,0.0001302578166858525,nan,nan,nan,nan,nan,nan,nan
300.0,2.1,0.00012710369691166577,nan,nan,nan,nan,nan,nan,nan
300.0,2.2,0.00012444279136974523,nan,nan,nan,nan,nan,nan,nan
300.0,2.3000000000000003,0.00012221768924893078,nan,nan,nan,nan,nan,nan,nan
300.0,2.4000000000000004,0.00012038201467804035,nan,nan,nan,nan,nan,nan,nan
300.0,2.5000000000000004,0.00011889428680498694,nan,nan,nan,nan,nan,nan,nan
300.0,2.6,0.00011772354960827667,nan,nan,nan,nan,nan,nan,nan
300.0,2.7,0.00011683684584046613,nan,nan,nan,nan,nan,nan,nan
300.0,2.8000000000000003,0.000116209448839732,nan,nan,nan,nan,nan,nan,nan
300.0,2.9000000000000004,0.0001158174688458313,nan,nan,nan,nan,nan,nan,nan
300.0,3.0000000000000004,0.00011564068892918838,nan,nan,nan,nan,nan,nan,nan
300.0,3.1,0.00011565528898178494,nan,nan,nan,nan,nan,nan,nan
300.0,3.2,0.00011584258861195848,nan,nan,nan,nan,nan,nan,nan
300.0,3.3000000000000003,0.00011617847576843622,nan,nan,nan,nan,nan,nan,nan
300.0,3.4000000000000004,0.00011664522416071404,nan,nan,nan,nan,nan,nan,nan
300.0,3.5000000000000004,0.00011721949771799387,nan,nan,nan,nan,nan,nan,nan
300.0,3.6,0.00011788229019562501,nan,nan,nan,nan,nan,nan,nan
300.0,3.7,0.0001186143925084728,nan,nan,nan,nan,nan,nan,nan
300.0,3.8000000000000003,0.00011939615100152393,nan,nan,nan,nan,nan,nan,nan
300.0,3.9000000000000004,0.00012021023264718308,nan,nan,nan,nan,nan,nan,nan
300.0,4.0,0.00012104102459259509,nan,nan,nan,nan,nan,nan,nan
300.0,4.1,0.0001218748818149044,nan,nan,nan,nan,nan,nan,nan
300.0,4.2,0.00012269913584839326,nan,nan,nan,nan,nan,nan,nan
300.0,4.3,0.00012350327938387095,nan,nan,nan,nan,nan,nan,nan
