T1_K,P1_atm,cj_speed_m_s,x10_T_m,x50_T_m,x90_T_m,ho2_peak,ho2_peak_x_m,source_file
300.0,0.1,1920.62258153982,0.001980885176003544,0.0032817428561155563,0.015956024085897157,0.00013922068723763462,0.0017444527101731601,znd_T0300.00_P00.10.npz
300.0,0.2,1937.9976387438476,0.0009117667362350163,0.0013702561930556399,0.007460354630619886,0.000262756185810189,0.0007911246596701573,znd_T0300.00_P00.20.npz
300.0,0.3,1947.819051656995,0.000584606890535893,0.0008222728656115145,0.0039218385362161665,0.0003801276960322649,0.0005085520051161759,znd_T0300.00_P00.30.npz
300.0,0.4,1954.6163834610904,0.00043008333816995633,0.000582308323493161,0.002463283268481263,0.0004929469848602509,0.00037472459604629923,znd_T0300.00_P00.40.npz
300.0,0.5,1959.7839025110939,0.00034119766504376486,0.0004508611912054675,0.0017269726663935298,0.0006018975891615638,0.0002984595230097181,znd_T0300.00_P00.50.npz
300.0,0.6,1963.9346480027305,0.000283901665613958,0.0003688614559681582,0.001298721798962673,0.0007076517055456469,0.00025112865000673733,znd_T0300.00_P00.60.npz
300.0,0.7,1967.3920978770213,0.00024417166104516826,0.0003132665073991784,0.0010251585254340187,0.0008104506067556755,0.00021692491154105074,znd_T0300.00_P00.70.npz
300.0,0.8,1970.3474046713634,0.0002151538783581935,0.0002733501582908853,0.0008387127081678489,0.0009105544485541016,0.00019263405783528491,znd_T0300.00_P00.80.npz
300.0,0.9,1972.9229348984773,0.00019317276403735633,0.00024344967298421436,0.0007049399081328665,0.0010082104816352517,0.00017303745675418972,znd_T0300.00_P00.90.npz
300.0,1.0,1975.2015032109978,0.0001760184979340697,0.00022033604771559825,0.0006053258154195549,0.0011035072224944498,0.00015821596777811648,znd_T0300.00_P01.00.npz
300.0,1.1,1977.241781105265,0.00016232737030384562,0.00020202272269563456,0.0005290838403681085,0.001196749203787713,0.00014764086174255114,znd_T0300.00_P01.10.npz
