T1_K,P1_atm,feature_value,d2_dT2,d2_dP2,d2_dTdP,C_T,C_P,C_TP,C_combined
300.0,0.1,1920.62258153982,nan,nan,nan,nan,nan,nan,nan
300.0,0.2,1937.9976387438476,nan,nan,nan,nan,nan,nan,nan
300.0,0.30000000000000004,1947.819051656995,nan,nan,nan,nan,nan,nan,nan
300.0,0.4,1954.6163834610904,nan,nan,nan,nan,nan,nan,nan
300.0,0.5,1959.7839025110939,nan,nan,nan,nan,nan,nan,nan
300.0,0.6,1963.9346480027305,nan,nan,nan,nan,nan,nan,nan
300.0,0.7000000000000001,1967.3920978770213,nan,nan,nan,nan,nan,nan,nan
300.0,0.8,1970.3474046713634,nan,nan,nan,nan,nan,nan,nan
300.0,0.9,1972.9229348984773,nan,nan,nan,nan,nan,nan,nan
300.0,1.0,1975.2015032109978,nan,nan,nan,nan,nan,nan,nan
300.0,1.1,1977.241781105265,nan,nan,nan,nan,nan,nan,nan
300.0,1.2000000000000002,1979.0867609578754,nan,nan,nan,nan,nan,nan,nan
300.0,1.3000000000000003,1980.7689368159631,nan,nan,nan,nan,nan,nan,nan
300.0,1.4000000000000001,1982.313385481907,nan,nan,nan,nan,nan,nan,nan
300.0,1.5000000000000002,1983.739879724588,nan,nan,nan,nan,nan,nan,nan
300.0,1.6,1985.064290109255,nan,nan,nan,nan,nan,nan,nan
300.0,1.7000000000000002,1986.2994891166074,nan,nan,nan,nan,nan,nan,nan
300.0,1.8000000000000003,1987.4561389271514,nan,nan,nan,nan,nan,nan,nan
300.0,1.9000000000000001,1988.5431043106823,nan,nan,nan,nan,nan,nan,nan
300.0,2.0,1989.5678613188618,nan,nan,nan,nan,nan,nan,nan
300.0,2.1,1990.5367290478682,nan,nan,nan,nan,nan,nan,nan
300.0,2.2,1991.4551739244014,nan,nan,nan,nan,nan,nan,nan
300.0,2.3000000000000003,1992.3278793876616,nan,nan,nan,nan,nan,nan,nan
300.0,2.4000000000000004,1993.158929916039,nan,nan,nan,nan,nan,nan,nan
300.0,2.5000000000000004,1993.9518834469877,nan,nan,nan,nan,nan,nan,nan
300.0,2.6,1994.7098779219255,nan,nan,nan,nan,nan,nan,nan
300.0,2.7,1995.4356800521214,nan,nan,nan,nan,nan,nan,nan
300.0,2.8000000000000003,1996.1317436505992,nan,nan,nan,nan,nan,nan,nan
300.0,2.9000000000000004,1996.8002909209308,nan,nan,nan,nan,nan,nan,nan
300.0,3.0000000000000004,1997.4432328235062,nan,nan,nan,nan,nan,nan,nan
300.0,3.1,1998.0623601191162,nan,nan,nan,nan,nan,nan,nan
300.0,3.2,1998.659285031,nan,nan,nan,nan,nan,nan,nan
300.0,3.3000000000000003,1999.2354136659644,nan,nan,nan,nan,nan,nan,nan
300.0,3.4000000000000004,1999.7920699379788,nan,nan,nan,nan,nan,nan,nan
300.0,3.5000000000000004,2000.3304453502506,nan,nan,nan,nan,nan,nan,nan
300.0,3.6,2000.8516094102297,nan,nan,nan,nan,nan,nan,nan
300.0,3.7,2001.3565552503726,nan,nan,nan,nan,nan,nan,nan
300.0,3.8000000000000003,2001.846215261547,nan,nan,nan,nan,nan,nan,nan
300.0,3.9000000000000004,2002.3214169581768,nan,nan,nan,nan,nan,nan,nan
300.0,4.0,2002.7829343266942,nan,nan,nan,nan,nan,nan,nan
300.0,4.1,2003.2314604773155,nan,nan,nan,nan,nan,nan,nan
300.0,4.2,2003.6677139169399,nan,nan,nan,nan,nan,nan,nan
300.0,4.3,2004.0922287955793,nan,nan,nan,nan,nan,nan,nan
300.0,4.3999999999999995,2004.5056547168613,nan,nan,nan,nan,nan,nan,nan
300.0,4.5,2004.9084359214305,nan,nan,nan,nan,nan,nan,nan
300.0,4.6,2005.3011634065706,nan,nan,nan,nan,nan,nan,nan
300.0,4.7,2005.6841763071861,nan,nan,nan,nan,nan,nan,nan
300.0,4.8,2006.0580382031044,nan,nan,nan,nan,nan,nan,nan
300.0,4.9,2006.4230398489308,nan,nan,nan,nan,nan,nan,nan
300.0,5.0,2006.7796128805885,nan,nan,nan,nan,nan,nan,nan
314.2857142857143,0.1,1918.2241621611151,nan,nan,nan,nan,nan,nan,nan
314.2857142857143,0.2,1935.7754216598262,0.00011014574932771679,-762.0657171991751,0.0990313501773358,1.1598943106641388e-05,0.003916653943630104,7.263167349957052e-05,0.003918017785771924
314.2857142857143,0.30000000000000004,1945.7060239865455,0.00010091096021451461,-305.3187188235824,0.0656722407400196,1.057288842905967e-05,0.00156366541222125,4.7997902588604844e-05,0.0015651737618081246
314.2857142857143,0.4,1952.583439125029,9.409556004147828e-05,-164.63861904596794,0.04982469799850835,9.824523973684006e-06,0.0008409306485921052,3.6319381900559376e-05,0.0008425550854490913
314.2857142857143,0.5,1957.8144680730527,8.878882657022597e-05,-102.75401087387762,0.04033857528255568,9.24600343159448e-06,0.0005237159553604873,2.934238986849248e-05,0.0005254387139952616
314.2857142857143,0.6,1962.0179569123377,8.429386039920256e-05,-70.09063473381046,0.03396568601226592,8.759369193060106e-06,0.00035660087660571455,2.4663313754950515e-05,0.00035840963970765996
314.2857142857143,0.7000000000000001,1965.5205394042846,8.064357493044564e-05,-50.77385637055158,0.029383519930820525,8.365324051338931e-06,0.0002579296905701384,2.1304089291314903e-05,0.00025981807551661194
314.2857142857143,0.8,1968.515383332526,7.726885321985728e-05,-38.417533961910515,0.02591445171640886,8.003235206620002e-06,0.0001949014570857458,1.8764364615722057e-05,0.00019686247104713184
314.2857142857143,0.9,1971.1260519211482,7.442836799398274e-05,-30.045358029315132,0.023179982750599504,7.698964104087749e-06,0.00015224894025112613,1.6765003984885897e-05,0.0001542761957435219
314.2857142857143,1.0,1973.4362669294774,7.181480852984814e-05,-24.114454977870988,0.020978050292677616,7.4200446636014764e-06,0.00012206727322617424,1.5156792437645866e-05,0.0001241568885309191
314.2857142857143,1.1,1975.5053373880278,6.950902729031449e-05,-19.76693005394736,0.019165184641718732,7.174396125497582e-06,9.996542221125726e-05,1.3834075262675195e-05,0.00010211425402159683
314.2857142857143,1.2000000000000002,1977.3767385460387,6.734405559759587e-05,-16.482231770805807,0.017642547347378475,6.944457962612994e-06,8.32821520246703e-05,1.272416918461865e-05,8.54865562830343e-05
314.2857142857143,1.3000000000000003,1979.0833173863416,6.542233438210595e-05,-13.944816608068319,0.016346208403439283,6.74056249798468e-06,7.040523794454982e-05,1.178003763766679e-05,7.266272281099578e-05
314.2857142857143,1.4000000000000001,1980.6504480605638,6.36049840582701e-05,-11.945268076556202,0.015228632214314081,6.54821234954636e-06,6.0265775541279356e-05,1.0966754814956844e-05,6.257301502172781e-05
314.2857142857143,1.5000000000000002,1982.0981260540204,6.193959765453208e-05,-10.340744186123628,0.014252429326234058,6.3721732594122105e-06,5.2135339064146085e-05,1.0256903730846361e-05,5.448950650968629e-05
314.2857142857143,1.6,1983.4423966056158,6.044261169165573e-05,-9.03507855407497,0.013393458924394969,6.2140188291680875e-06,4.552373317542344e-05,9.632743125582314e-06,4.792289424151374e-05
314.2857142857143,1.7000000000000002,1984.6963163716705,5.886337635731714e-05,-7.958394941169898,0.012639365984512102,6.047896611913009e-06,4.007509216373289e-05,9.085099674440365e-06,4.251668069768743e-05
314.2857142857143,1.8000000000000003,1985.8706521883134,5.755856420735206e-05,-7.061188406169093,0.011963291534976866,5.910392449185522e-06,3.553739037115528e-05,8.594441046558392e-06,3.802062186630835e-05
314.2857142857143,1.9000000000000001,1986.9743761208947,5.627889887332465e-05,-6.305175778015836,0.011349511802393413,5.775831331534546e-06,3.1715935869908015e-05,8.149301466091053e-06,3.423569839283145e-05
314.2857142857143,2.0,1988.0150482956958,5.514248108886484e-05,-5.6621817875566185,0.010801133914833377,5.65628737171911e-06,2.846749297871612e-05,7.75177422337016e-06,3.102534045816311e-05
314.2857142857143,2.1,1988.9990986526213,5.3952261989252356e-05,-5.111590165984125,0.010303079597639457,5.53150592572036e-06,2.5687260071897106e-05,7.390919631135858e-06,2.827868939316986e-05
314.2857142857143,2.2,1989.932033107887,5.284108463670242e-05,-4.636691932341818,0.009846517166010932,5.415082882616861e-06,2.329037879615107e-05,7.060310323331229e-06,2.5912561255446915e-05
314.2857142857143,2.3000000000000003,1990.8186006438293,5.18085587745191e-05,-4.223223632607186,0.00942928199251583,5.306945392620603e-06,2.1204509841453956e-05,6.758318488440164e-06,2.3856752599609172e-05
314.2857142857143,2.4000000000000004,1991.6629359434455,5.082191000187783e-05,-3.862409347857464,0.009045279712847791,5.203708651656326e-06,1.9385044544530277e-05,6.480511525119092e-06,2.206473645841139e-05
314.2857142857143,2.5000000000000004,1992.4686471495831,4.986041574270536e-05,-3.544969592803681,0.00869200757987301,5.103229989652972e-06,1.7784970870286876e-05,6.225042460043848e-06,2.0490252620281277e-05
314.2857142857143,2.6,1993.2389086597927,4.8955959723616674e-05,-3.2636885767942654,0.00835879571056353,5.008754555776178e-06,1.6367738146941564e-05,5.9842253241981525e-06,1.9094825993142845e-05
314.2857142857143,2.7,1993.9765332842344,4.7829306366043116e-05,-3.0175391883403786,0.00806398128257229,4.891705119550914e-06,1.5127906048220223e-05,5.771148771848796e-06,1.7871615390726223e-05
314.2857142857143,2.8000000000000003,1994.6839825167926,4.7307778039544303e-05,-2.7917901734554103,0.007775973756639591,4.836679046966133e-06,1.3991386301697289e-05,5.563167227371176e-06,1.676454634179157e-05
314.2857142857143,2.9000000000000004,1995.3635138476163,4.63335647415534e-05,-2.5949223509542203,0.00751162040335203,4.735490866105323e-06,1.3000501630036206e-05,5.372311019489721e-06,1.5784846142924624e-05
314.2857142857143,3.0000000000000004,1996.0170959549305,4.5715350070463555e-05,-2.415790789495986,0.00727809583555086,4.670802717381054e-06,1.2099241228283285e-05,5.203681312755829e-06,1.4911895745824296e-05
314.2857142857143,3.1,1996.6465201543497,4.493658436688298e-05,-2.2542357367228756,0.0070365551220334084,4.589812453550636e-06,1.1286678668162997e-05,5.029482352590652e-06,1.4108397470555461e-05
314.2857142857143,3.2,1997.2534019964016,4.425132051062524e-05,-2.1089625629656434,0.006818222805964072,4.518469858519288e-06,1.055621778306639e-05,4.872021687717969e-06,1.3391172256268788e-05
314.2857142857143,3.3000000000000003,1997.839194212824,4.3565808998641895e-05,-1.9762320017434827,0.0066172024131560675,4.447190844819525e-06,9.889045414322168e-06,4.727064601672234e-06,1.2738171184025524e-05
314.2857142857143,3.4000000000000004,1998.4052241092288,4.296837076406069e-05,-1.8583643545980517,0.006420582440210867,4.384983513932786e-06,9.296690122540173e-06,4.585372706891253e-06,1.2153510331348913e-05
314.2857142857143,3.5000000000000004,1998.9526703620877,4.2586360543873574e-05,-1.7402304057213764,0.006237256461190557,4.344829129980991e-06,8.70340310154238e-06,4.4532869560255794e-06,1.1588368959525063e-05
314.2857142857143,3.6,1999.4827143108894,4.169440346256584e-05,-1.6475400958142925,0.006062740426335725,4.252720137323929e-06,8.237715789448117e-06,4.3275935660673235e-06,1.110863277547052e-05
314.2857142857143,3.7,1999.996282858733,4.081764655418288e-05,-1.5525335245001768,0.0059077894495374065,4.16224281874207e-06,7.760749452107262e-06,4.215957823974101e-06,1.0634947018561493e-05
314.2857142857143,3.8000000000000003,2000.4943260713314,4.0454598627638964e-05,-1.4674554761995748,0.0057614607202879165,4.124213175473204e-06,7.333692324832211e-06,4.110557926480889e-06,1.0226707699252941e-05
314.2857142857143,3.9000000000000004,2000.977694729168,3.9946952939499215e-05,-1.3891750972106818,0.005604783245212277,4.071493870246246e-06,6.940853183125168e-06,3.997853721545657e-06,9.83453984703425e-06
314.2857142857143,4.0,2001.4471716360324,3.9348833866142785e-05,-1.316489280020505,0.00546644173485902,4.009607891479348e-06,6.576187567345321e-06,3.898302633740239e-06,9.471891321841314e-06
314.2857142857143,4.1,2001.9034836500966,3.870238397453254e-05,-1.250290004918497,0.005323412882484038,3.942852268906699e-06,6.244121633827828e-06,3.795477410542843e-06,9.129426955748176e-06
314.2857142857143,4.2,2002.3472927641117,3.805732380649265e-05,-1.1907860832707227,0.005205468880944866,3.87629182368369e-06,5.945668333423083e-06,3.7105997462525177e-06,8.826874372460818e-06
