T1_K,P1_atm,phi,cj_speed_m_s,integration_speed_m_s,x_end_m,T_min_K,T_max_K,P_min_Pa,P_max_Pa,x_monotonic,finite_all,min_mass_fraction,max_species_sum_error,x10_T_m,x50_T_m,x90_T_m,T_start_K,T_end_K,delta_T_K
300.0,0.1,1.0,1920.62258153982,1930.225694447519,0.03540588082277351,1486.6304904280905,2725.933693364267,185792.40977227545,267139.0408238115,True,True,0.0,2.220446049250313e-16,0.001980885176003544,0.0032817428561155563,0.015956024085897157,1486.6324385740486,2725.933693364267,1239.3012547902185
300.0,0.2,1.0,1937.9976387438476,1947.6876269375666,0.043074567542248886,1506.9366245211158,2864.557837876482,343521.51366946724,544205.7028752108,True,True,0.0,4.440892098500626e-16,0.0009117667362350163,0.0013702561930556399,0.007460354630619886,1506.9387438217957,2864.557837876482,1357.6190940546865
300.0,0.3,1.0,1947.819051656995,1957.5581469152798,0.04609473872205614,1518.4778175041804,2903.429694592406,513047.62854244886,824787.7775188808,True,True,0.0,2.220446049250313e-16,0.000584606890535893,0.0008222728656115145,0.003921838536216166,1518.4799734800783,2903.429694592406,1384.9497211123278
300.0,0.4,1.0,1954.6163834610904,1964.3894653783957,0.04750017985654472,1526.4920023637465,2927.4676790132226,687340.9357626657,1107576.3839431384,True,True,0.0,2.220446049250313e-16,0.00043008333816995633,0.000582308323493161,0.002463283268481263,1526.4941523759821,2927.4676790132226,1400.9735266372404
300.0,0.5,1.0,1959.7839025110939,1969.5828220236492,0.04828920802495649,1532.5991463482048,2945.670588447462,862772.1890489672,1391962.9021946972,True,True,0.0,4.440892098500626e-16,0.00034119766504376486,0.0004508611912054675,0.0017269726663935298,1532.6012873678565,2945.670588447462,1413.0693010796053
300.0,0.6,1.0,1963.9346480027305,1973.7543212427438,0.048796692749781274,1537.5137398445938,2960.359545143153,1038802.3280452844,1677595.1883067263,True,True,0.0,4.440892098500626e-16,0.000283901665613958,0.0003688614559681582,0.001298721798962673,1537.5158560764255,2960.359545143153,1422.8436890667274
300.0,0.7,1.0,1967.3920978770213,1977.2290583664062,0.049153837633721935,1541.6136444832478,2972.645944625826,1215303.6186615275,1964244.1080755866,True,True,0.0,6.661338147750939e-16,0.00024417166104516826,0.0003132665073991784,0.0010251585254340187,1541.6157271572176,2972.645944625826,1431.0302174686083
300.0,0.8,1.0,1970.3474046713634,1980.19914169472,0.04942133414380093,1545.1225585259058,2983.184892748726,1392198.268582762,2251748.779688605,True,True,0.0,3.3306690738754696e-16,0.0002151538783581935,0.0002733501582908853,0.0008387127081678489,1545.124603237075,2983.184892748726,1438.0602895116508
300.0,0.9,1.0,1972.9229348984773,1982.7875495729695,0.04963094966346953,1548.183904449131,2992.3972556110216,1569430.4272557066,2539990.6247134525,True,True,0.0,2.220446049250313e-16,0.00019317276403735633,0.00024344967298421436,0.0007049399081328665,1548.1859094980302,2992.3972556110216,1444.2113461129914
300.0,1.0,1.0,1975.2015032109978,1985.0775107270526,0.04980090937984013,1550.8948626085105,3000.569092773815,1746956.6889379597,2828878.4169319803,True,True,0.0,6.661338147750939e-16,0.0001760184979340697,0.00022033604771559825,0.0006053258154195549,1550.8968391833168,3000.569092773804,1449.6722535904873
300.0,1.1,1.0,1977.241781105265,1987.127990010791,0.04994240349824656,1553.3243789015874,3007.9033050925877,1924742.902315077,3118340.090910206,True,True,0.0,2.220446049250313e-16,0.00016232737030384562,0.00020202272269563456,0.0005290838403681085,1553.326330264988,3007.9033050925755,1454.5769748275875
300.0,1.2,1.0,1979.0867609578754,1988.9821947626647,0.05006267668991035,1555.5230236672257,3014.5501432782407,2102762.960348464,3408317.172075139,True,True,0.0,4.440892098500626e-16,0.0001512270559417013,0.00018723503023434623,0.0004691619483586571,1555.5249491178297,3014.550143278232,1459.0251941604024
300.0,1.3,1.0,1980.7689368159631,1990.6727815000427,0.05016666243009852,1557.529050846569,3020.6219055942242,2280993.3537334553,3698761.564354295,True,True,0.0,2.220446049250313e-16,0.00014210975507488732,0.00017511261019814893,0.000421151392784751,1557.5309501508245,3020.6219055942092,1463.0909554433847
300.0,1.4,1.0,1982.313385481907,1992.2249524093163,0.05025781686106537,1559.372006598007,3026.2063710285056,2459415.595053584,3989632.8220728915,True,True,0.0,4.440892098500626e-16,0.00013452487904280728,0.0001650495509308581,0.00038201828394400413,1559.373879835355,3026.2063710284915,1466.8324911931365
300.0,1.5,1.0,1983.739879724588,1993.6585791232108,0.05033865196048619,1561.0752055965008,3031.3727255263443,2638013.5110023,4280896.578861309,True,True,0.0,2.220446049250313e-16,0.00012817137847017296,0.00015661903234516858,0.00034971294286270947,1561.0770530611974,3031.372725526328,1470.2956724651306
300.0,1.6,1.0,1985.064290109255,1994.989611559801,0.05041102212681808,1562.6573747105897,3036.1766594357937,2816774.0936931227,4572523.3536288105,True,True,0.0,4.440892098500626e-16,0.00012282402268301898,0.00014950557949241757,0.00032271508451760315,1562.6591968503596,3036.176659435786,1473.5174625854263
300.0,1.7,1.0,1986.2994891166074,1996.2309865621903,0.050476365224182536,1564.1337124362803,3040.6630194910376,2995683.722137724,4864487.338416759,True,True,0.0,2.220446049250313e-16,0.00011830342130819925,0.0001434759907755884,0.000299975673980296,1564.1355098124388,3040.663019491029,1476.5275096785901
300.0,1.8,1.0,1987.4561389271514,1997.393419621787,0.050535756592635026,1565.5168159070163,3044.869492824512,3174733.649954918,5156766.164124471,True,True,0.0,4.440892098500626e-16,0.00011448547249212901,0.0001383461462166824,0.00028059925159945153,1565.5185891704546,3044.869492824499,1479.3509036540445
300.0,1.9,1.0,1988.5431043106823,1998.4858198322356,0.0505900665463285,1566.8171642685595,3048.8276295970336,3353914.8540230487,5449339.959815771,True,True,0.0,4.440892098500626e-16,0.00011126288390191148,0.00013397399899288726,0.0002640031847606568,1566.818914139664,3048.8276295970195,1482.0087154573555
300.0,2.0,1.0,1989.5678613188618,1999.5157006254558,0.050639978150640946,1568.0435998913078,3052.5638361934875,3533220.0276358095,5742191.115384525,True,True,0.0,8.881784197001252e-16,0.00010855665723123472,0.0001302578166858525,0.00024971868744089323,1568.045327142332,3052.563836193474,1484.5185090511418
