profile,T1_K,P1_atm,weight,peak_HO2,peak_x_m,FWHM_m,source_file
"corner T=342.857143 K, P=4.600000 atm",342.8571428571429,4.6,0.23700000000000185,0.003098730973132754,7.354205142079427e-05,2.731722065321866e-05,znd_T0342.86_P04.60.npz
"corner T=342.857143 K, P=4.700000 atm",342.8571428571429,4.7,0.15800000000000006,0.003141829322404305,7.404078670340887e-05,2.723092553024875e-05,znd_T0342.86_P04.70.npz
"corner T=357.142857 K, P=4.600000 atm",357.14285714285717,4.6,0.36299999999999993,0.0029824689348339766,6.58451313859039e-05,2.5776672192244864e-05,znd_T0357.14_P04.60.npz
"corner T=357.142857 K, P=4.700000 atm",357.14285714285717,4.7,0.2419999999999982,0.0030254632268902643,6.600730315406498e-05,2.5659547507899362e-05,znd_T0357.14_P04.70.npz
direct truth,351.5,4.64,nan,0.0030452601289729883,6.861635415759463e-05,2.6308341995527512e-05,truth_target_T0351.50_P04.640.npz
bilinear reconstruction,351.5,4.64,nan,0.002750475383941411,7.200887298882743e-05,2.91204827534278e-05,constructed from four cached corners
